Identifiant;Identifiant;Nom;Nom complet;Thème;Catégorie;Type;Adresse;Commune;Code postal;Téléphone;Site Web;Accès PMR;Informations accès mobilité réduite;URL;Géométrie
201;1450;Bout des Pavés;Bibliothèque-Ludothèque Bout des Pavés;Culture;Médiathèque;Bibliothèque;14 Rue de la Coulée;Nantes;44300;;;Non;;;"{""coordinates"": [-1.5764985463551948, 47.2600650230503], ""type"": ""Point""}"
227;1453;Ludo-bibliothèque Ricochet;Ludo-bibliothèque Ricochet;Culture;Médiathèque;Bibliothèque;7 Rue de Pornichet;Nantes;44300;02 40 49 21 81;;Non;;;"{""coordinates"": [-1.5414090329606391, 47.24133859698608], ""type"": ""Point""}"
333;946;Ludothèque Planète Jouets;Ludothèque Planète Jouets Bottière;Culture;Médiathèque;Ludothèque;15 Rue de la Souillarderie;Nantes;44300;02 40 49 63 12;;Non;;https://metropole.nantes.fr/infonantes/equipement/E946;"{""coordinates"": [-1.5174902600771856, 47.23986178736398], ""type"": ""Point""}"
358;5544;Le Kiosque du Loiry;Le Kiosque du Loiry;Culture;Salle de spectacle;;Boulevard Guichet Sérex;Vertou;44120;;;Non;;;"{""coordinates"": [-1.4772834368220276, 47.16246863620762], ""type"": ""Point""}"
508;12;Bibliothèque Chantenay;Bibliothèque Chantenay;Culture;Médiathèque;Bibliothèque;8 Rue de la Constitution;Nantes;44100;02 40 46 26 96;http://bm.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E12;"{""coordinates"": [-1.589794572220037, 47.206496353767534], ""type"": ""Point""}"
637;4969;Le Chronographe;Le Chronographe;Culture;Musée, Château;Musée;21 Rue Saint Lupien;Rezé;44400;02 52 10 83 20;http://lechronographe.nantesmetropole.fr/;Oui;Ascenseur, rampe d'accès, boucle magnétique;https://metropole.nantes.fr/infonantes/equipement/E4969;"{""coordinates"": [-1.5647979422107725, 47.19186507310084], ""type"": ""Point""}"
645;759;Cinéma Concorde;Cinéma Concorde;Culture;Cinéma;;79 Boulevard de l'Egalité;Nantes;44100;02 40 46 25 29;http://www.leconcorde.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E759;"{""coordinates"": [-1.5868049830032274, 47.21118309268118], ""type"": ""Point""}"
690;2640;La Chantrerie;Château de La Chantrerie;Culture;Monument;;95 Route de Gachet;Nantes;44300;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E2640;"{""coordinates"": [-1.5260410307996926, 47.28754797966151], ""type"": ""Point""}"
942;141;Théâtre Graslin;Théâtre Graslin;Culture;Salle de spectacle;;1T Place Graslin;Nantes;44000;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E141;"{""coordinates"": [-1.5622207883380603, 47.213438325784786], ""type"": ""Point""}"
954;1121;Musée d'Histoire;Musée d'Histoire de Nantes - Château des Ducs de Bretagne;Culture;Musée, Château;Musée;4 Place Marc Elder;Nantes;44000;08 11 46 46 44;http://www.chateaunantes.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1121;"{""coordinates"": [-1.5500105174619785, 47.21605636497681], ""type"": ""Point""}"
1066;4090;Compagnie du Café Théâtre;La Compagnie du Café Théâtre;Culture;Salle de spectacle;;6 Rue des Carmélites;Nantes;44000;02 40 89 65 01;http://www.nantes-spectacles.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E4090;"{""coordinates"": [-1.551371461069519, 47.21652980082924], ""type"": ""Point""}"
1315;2266;Bibliothèque Sonore;Bibliothèque Sonore;Culture;Médiathèque;Bibliothèque;24 Quai de la Fosse;Nantes;44000;02 40 73 48 44;https://lesbibliothequessonores.org/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2266;"{""coordinates"": [-1.5622360228557208, 47.211286701718045], ""type"": ""Point""}"
1352;2091;Cinéma Le Beaulieu;Cinéma Le Beaulieu;Culture;Cinéma;;26 Rue de Beaulieu;Bouguenais;44340;02 40 26 96 66;http://www.cinemalebeaulieu.com/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2091;"{""coordinates"": [-1.6252055164779045, 47.178420857424655], ""type"": ""Point""}"
